ID|LATITUDE|LONGITUDE|STATE|EPIDEMIC
2797|14.671|-92.372|Chiapas|0
3060|14.682|-92.155|Chiapas|0
3344|14.721|-92.424|Chiapas|0
3487|14.778|-92.179|Chiapas|0
1924|14.786|-92.366|Chiapas|0
1001|14.87|-92.285|Chiapas|0
2914|14.882|-92.265|Chiapas|0
2094|14.888|-92.283|Chiapas|0
2055|14.888|-92.25|Chiapas|0
2257|14.897|-92.273|Chiapas|0
914|14.9|-92.245|Chiapas|0
998|14.908|-92.264|Chiapas|0
999|14.922|-92.251|Chiapas|0
1000|14.932|-92.271|Chiapas|0
3574|15.012|-92.392|Chiapas|0
2256|15.024|-92.386|Chiapas|0
2255|15.051|-92.402|Chiapas|0
3659|15.136|-92.475|Chiapas|0
3466|15.138|-92.462|Chiapas|0
3467|15.147|-92.451|Chiapas|0
2186|15.575|-93.044|Chiapas|0
3859|15.659|-96.501|Oaxaca|1
2326|15.671|-96.497|Oaxaca|1
3582|15.688|-93.208|Chiapas|0
3868|15.749|-96.467|Oaxaca|1
1990|15.765|-93.335|Chiapas|0
2179|15.768|-96.139|Oaxaca|1
2054|15.768|-96.107|Oaxaca|1
2986|15.769|-96.258|Oaxaca|1
1920|15.858|-97.045|Oaxaca|1
1885|15.862|-93.452|Chiapas|0
4022|15.928|-93.565|Chiapas|0
3816|15.999|-93.657|Chiapas|0
3003|16.094|-93.752|Chiapas|0
3002|16.165|-93.828|Chiapas|0
2768|16.178|-95.242|Oaxaca|1
1481|16.179|-95.202|Oaxaca|1
1480|16.189|-95.198|Oaxaca|1
2209|16.23|-93.897|Chiapas|0
2935|16.237|-93.269|Chiapas|0
974|16.256|-92.146|Chiapas|0
4145|16.288|-90.622|Chiapas|0
1531|16.331|-95.228|Oaxaca|1
3155|16.332|-98.051|Oaxaca|1
2287|16.441|-95.032|Oaxaca|1
3826|16.514|-90.651|Chiapas|0
3650|16.562|-93.023|Chiapas|0
2556|16.568|-93.013|Chiapas|0
2554|16.609|-93.04|Chiapas|0
2936|16.62|-93.097|Chiapas|0
3620|16.684|-96.845|Oaxaca|1
3001|16.684|-93.726|Chiapas|0
1059|16.691|-99.635|Guerrero|1
573|16.699|-93.2|Chiapas|0
2409|16.708|-93.108|Chiapas|0
1957|16.708|-93.012|Chiapas|0
2661|16.709|-92.636|Chiapas|0
3928|16.709|-92.589|Chiapas|0
2873|16.726|-92.653|Chiapas|0
1740|16.732|-93.04|Chiapas|0
966|16.733|-92.644|Chiapas|0
330|16.735|-99.732|Guerrero|1
967|16.736|-92.634|Chiapas|0
2261|16.737|-93.084|Chiapas|0
2264|16.739|-93.114|Chiapas|0
2555|16.739|-93.06|Chiapas|0
2296|16.74|-93.181|Chiapas|0
2836|16.741|-95.094|Oaxaca|1
915|16.744|-93.103|Chiapas|0
1730|16.744|-92.649|Chiapas|0
331|16.746|-99.759|Guerrero|1
2068|16.746|-93.12|Chiapas|0
2297|16.746|-92.636|Chiapas|0
4053|16.747|-93.085|Chiapas|0
2803|16.749|-93.169|Chiapas|0
397|16.749|-93.131|Chiapas|0
2193|16.751|-93.154|Chiapas|0
2885|16.752|-93.181|Chiapas|0
2069|16.753|-93.117|Chiapas|0
1503|16.753|-93.104|Chiapas|0
3059|16.754|-93.149|Chiapas|0
3058|16.754|-93.081|Chiapas|0
1008|16.755|-93.082|Chiapas|0
1973|16.757|-93.143|Chiapas|0
3099|16.759|-93.376|Chiapas|0
4341|16.76|-93.184|Chiapas|0
1971|16.761|-93.131|Chiapas|0
1972|16.762|-93.16|Chiapas|0
2455|16.763|-93.183|Chiapas|0
619|16.763|-93.112|Chiapas|0
618|16.764|-93.065|Chiapas|0
917|16.765|-93.103|Chiapas|0
1354|16.767|-99.763|Guerrero|1
2066|16.77|-93.115|Chiapas|0
921|16.775|-99.778|Guerrero|1
2882|16.781|-93.117|Chiapas|0
916|16.785|-93.101|Chiapas|0
1060|16.786|-99.795|Guerrero|1
2456|16.787|-93.272|Chiapas|0
1353|16.788|-99.814|Guerrero|1
3123|16.788|-99.798|Guerrero|1
3575|16.79|-99.776|Guerrero|1
611|16.794|-99.799|Guerrero|1
3141|16.795|-99.81|Guerrero|1
1555|16.802|-99.822|Guerrero|1
2098|16.811|-99.859|Guerrero|1
364|16.816|-99.856|Guerrero|1
2175|16.818|-99.852|Guerrero|1
518|16.82|-99.834|Guerrero|1
2166|16.822|-99.812|Guerrero|1
334|16.825|-99.861|Guerrero|1
2265|16.831|-99.778|Guerrero|1
1716|16.833|-99.902|Guerrero|1
329|16.842|-99.849|Guerrero|1
612|16.845|-99.811|Guerrero|1
1554|16.849|-99.905|Guerrero|1
326|16.851|-99.917|Guerrero|1
335|16.853|-99.909|Guerrero|1
328|16.856|-99.895|Guerrero|1
3686|16.857|-99.868|Guerrero|1
333|16.858|-99.908|Guerrero|1
332|16.86|-99.883|Guerrero|1
3210|16.861|-99.881|Guerrero|1
88|16.861|-99.863|Guerrero|1
610|16.861|-99.807|Guerrero|1
2011|16.862|-99.883|Guerrero|1
495|16.864|-99.876|Guerrero|1
520|16.866|-99.904|Guerrero|1
783|16.868|-99.869|Guerrero|1
1006|16.871|-99.89|Guerrero|1
86|16.873|-99.849|Guerrero|1
1491|16.874|-99.816|Guerrero|1
2835|16.878|-95.038|Oaxaca|1
519|16.882|-99.945|Guerrero|1
3741|16.884|-99.838|Guerrero|1
2535|16.885|-99.953|Guerrero|1
2266|16.885|-99.845|Guerrero|1
87|16.891|-99.834|Guerrero|1
2099|16.898|-99.83|Guerrero|1
2712|16.899|-99.75|Guerrero|1
1125|16.9|-99.82|Guerrero|1
2881|16.901|-96.684|Oaxaca|1
3571|16.902|-92.096|Chiapas|0
2561|16.903|-99.975|Guerrero|1
336|16.907|-99.832|Guerrero|1
2711|16.922|-99.962|Guerrero|1
327|16.925|-99.813|Guerrero|1
3038|16.963|-96.47|Oaxaca|1
2819|16.997|-96.75|Oaxaca|1
3712|17.01|-100.086|Guerrero|1
2010|17.022|-96.73|Oaxaca|1
3971|17.022|-92.309|Chiapas|0
4031|17.026|-97.923|Oaxaca|1
4030|17.031|-97.93|Oaxaca|1
4367|17.033|-96.714|Oaxaca|1
928|17.054|-96.719|Oaxaca|1
4347|17.057|-96.727|Oaxaca|1
2017|17.058|-96.727|Oaxaca|1
2852|17.059|-96.724|Oaxaca|1
3496|17.06|-96.722|Oaxaca|1
3691|17.06|-96.719|Oaxaca|1
4355|17.061|-96.73|Oaxaca|1
4342|17.061|-96.727|Oaxaca|1
2607|17.061|-96.724|Oaxaca|1
4339|17.062|-96.728|Oaxaca|1
1328|17.063|-96.726|Oaxaca|1
2517|17.064|-96.755|Oaxaca|1
2851|17.065|-96.723|Oaxaca|1
103|17.066|-96.698|Oaxaca|1
105|17.07|-96.732|Oaxaca|1
552|17.07|-96.715|Oaxaca|1
3088|17.071|-96.676|Oaxaca|1
4397|17.076|-96.759|Oaxaca|1
104|17.077|-96.7|Oaxaca|1
106|17.079|-96.715|Oaxaca|1
1329|17.121|-96.762|Oaxaca|1
4119|17.137|-92.557|Chiapas|0
3215|17.163|-96.598|Oaxaca|1
3300|17.179|-93.583|Chiapas|0
3239|17.181|-100.433|Guerrero|1
2662|17.237|-96.822|Oaxaca|1
2891|17.244|-99.513|Guerrero|1
2544|17.395|-99.518|Guerrero|1
3641|17.43|-93.367|Chiapas|0
3110|17.467|-97.215|Oaxaca|1
1699|17.469|-91.426|Tabasco|1
286|17.508|-91.98|Chiapas|0
28|17.519|-99.486|Guerrero|1
30|17.538|-99.511|Guerrero|1
4334|17.542|-99.502|Guerrero|1
3211|17.543|-99.502|Guerrero|1
3040|17.544|-92.951|Tabasco|1
4140|17.549|-99.5|Guerrero|1
1725|17.556|-99.517|Guerrero|1
160|17.557|-99.502|Guerrero|1
3056|17.56|-92.948|Tabasco|1
3209|17.562|-99.397|Guerrero|1
29|17.566|-99.534|Guerrero|1
3517|17.591|-99.092|Guerrero|1
3647|17.618|-101.459|Guerrero|1
2336|17.643|-101.595|Guerrero|1
3666|17.644|-101.557|Guerrero|1
2260|17.647|-101.518|Guerrero|1
614|17.648|-101.582|Guerrero|1
985|17.648|-99.523|Guerrero|1
3749|17.649|-101.547|Guerrero|1
3495|17.66|-101.599|Guerrero|1
3200|17.661|-101.591|Guerrero|1
2259|17.664|-101.612|Guerrero|1
1735|17.679|-101.641|Guerrero|1
2766|17.68|-97.577|Oaxaca|1
3646|17.706|-101.617|Guerrero|1
2337|17.742|-91.765|Tabasco|1
2787|17.758|-92.594|Tabasco|1
2999|17.766|-92.594|Tabasco|1
2641|17.779|-92.681|Tabasco|1
687|17.802|-97.784|Oaxaca|1
3346|17.806|-99.634|Guerrero|1
3745|17.808|-97.775|Oaxaca|1
2640|17.826|-93.388|Tabasco|1
3443|17.834|-92.529|Tabasco|1
3369|17.835|-93.395|Tabasco|1
604|17.851|-97.827|Oaxaca|1
3130|17.862|-93.148|Chiapas|0
2929|17.879|-92.48|Tabasco|1
2928|17.887|-92.481|Tabasco|1
1838|17.905|-94.116|Veracruz|1
2229|17.916|-92.914|Tabasco|1
535|17.947|-94.911|Veracruz|1
3417|17.949|-94.654|Veracruz|1
2369|17.951|-94.678|Veracruz|1
2379|17.954|-92.978|Tabasco|1
210|17.956|-92.955|Tabasco|1
2764|17.959|-102.199|Michoacan_de_Ocampo|0
534|17.961|-94.915|Veracruz|1
2105|17.967|-92.956|Tabasco|1
2659|17.969|-92.948|Tabasco|1
2106|17.971|-92.957|Tabasco|1
1965|17.973|-102.224|Michoacan_de_Ocampo|0
1855|17.974|-92.993|Tabasco|1
1853|17.975|-93.056|Tabasco|1
1854|17.975|-92.963|Tabasco|1
3037|17.976|-93.374|Tabasco|1
1765|17.976|-92.936|Tabasco|1
2230|17.976|-92.906|Tabasco|1
1850|17.978|-93.149|Tabasco|1
2306|17.978|-92.93|Tabasco|1
1856|17.98|-93.382|Tabasco|1
209|17.98|-92.949|Tabasco|1
3125|17.98|-92.801|Tabasco|1
1265|17.983|-92.944|Tabasco|1
536|17.984|-94.541|Veracruz|1
1851|17.984|-93.012|Tabasco|1
2639|17.984|-92.818|Tabasco|1
2270|17.985|-92.969|Tabasco|1
3354|17.988|-92.965|Tabasco|1
3753|17.988|-92.918|Tabasco|1
1953|17.989|-92.951|Tabasco|1
2079|17.989|-92.934|Tabasco|1
3989|17.989|-92.927|Tabasco|1
2930|17.99|-93.359|Tabasco|1
1525|17.99|-92.924|Tabasco|1
3474|17.99|-92.918|Tabasco|1
755|17.991|-92.916|Tabasco|1
2931|17.992|-93.377|Tabasco|1
278|17.994|-94.566|Veracruz|1
3824|17.994|-92.922|Tabasco|1
3823|17.994|-92.921|Tabasco|1
3378|17.996|-92.913|Tabasco|1
3428|17.997|-92.921|Tabasco|1
2600|17.998|-94.634|Veracruz|1
2869|17.998|-92.942|Tabasco|1
1145|17.999|-92.957|Tabasco|1
1527|17.999|-92.928|Tabasco|1
3643|17.999|-92.917|Tabasco|1
2638|17.999|-92.907|Tabasco|1
1552|18.001|-92.946|Tabasco|1
2495|18.003|-93.347|Tabasco|1
3515|18.006|-92.923|Tabasco|1
4294|18.009|-92.921|Tabasco|1
2458|18.011|-92.947|Tabasco|1
3384|18.014|-93.733|Tabasco|1
277|18.015|-94.565|Veracruz|1
2393|18.015|-92.919|Tabasco|1
1857|18.017|-93.366|Tabasco|1
1984|18.018|-102.213|Michoacan_de_Ocampo|0
2271|18.019|-92.994|Tabasco|1
1890|18.019|-92.956|Tabasco|1
2208|18.019|-92.939|Tabasco|1
1852|18.021|-93.767|Tabasco|1
2117|18.024|-92.911|Tabasco|1
3240|18.031|-93.811|Tabasco|1
2457|18.033|-92.898|Tabasco|1
1839|18.046|-94.207|Veracruz|1
4164|18.049|-92.928|Tabasco|1
1288|18.058|-96.119|Oaxaca|1
3323|18.061|-94.571|Veracruz|1
3053|18.066|-93.171|Tabasco|1
3216|18.067|-92.872|Tabasco|1
3374|18.074|-96.152|Oaxaca|1
1496|18.074|-94.41|Veracruz|1
131|18.081|-96.122|Oaxaca|1
3665|18.087|-94.363|Veracruz|1
1495|18.087|-94.362|Veracruz|1
130|18.098|-96.131|Oaxaca|1
3114|18.098|-95.879|Oaxaca|1
2932|18.105|-94.571|Veracruz|1
